step	time	u	v	T
375	3.75000e+01	2.91286e-02	3.42389e-03	2.87866e+02
376	3.76000e+01	2.89431e-02	3.21950e-03	2.88137e+02
377	3.77000e+01	2.87376e-02	3.00678e-03	2.88416e+02
378	3.78000e+01	2.85155e-02	2.78595e-03	2.88699e+02
379	3.79000e+01	2.82807e-02	2.55819e-03	2.88979e+02
380	3.80000e+01	2.80369e-02	2.32555e-03	2.89246e+02
381	3.81000e+01	2.77875e-02	2.09059e-03	2.89495e+02
382	3.82000e+01	2.75352e-02	1.85587e-03	2.89722e+02
383	3.83000e+01	2.72811e-02	1.62339e-03	2.89931e+02
384	3.84000e+01	2.70255e-02	1.39446e-03	2.90126e+02
385	3.85000e+01	2.67669e-02	1.16972e-03	2.90314e+02
386	3.86000e+01	2.65033e-02	9.49559e-04	2.90499e+02
387	3.87000e+01	2.62316e-02	7.34587e-04	2.90682e+02
388	3.88000e+01	2.59491e-02	5.25980e-04	2.90860e+02
389	3.89000e+01	2.56540e-02	3.25574e-04	2.91026e+02
390	3.90000e+01	2.53461e-02	1.35650e-04	2.91173e+02
391	3.91000e+01	2.50271e-02	-4.14647e-05	2.91294e+02
392	3.92000e+01	2.47012e-02	-2.03802e-04	2.91386e+02
393	3.93000e+01	2.43745e-02	-3.49999e-04	2.91448e+02
394	3.94000e+01	2.40540e-02	-4.79305e-04	2.91483e+02
395	3.95000e+01	2.37470e-02	-5.91319e-04	2.91496e+02
396	3.96000e+01	2.34596e-02	-6.85644e-04	2.91491e+02
397	3.97000e+01	2.31956e-02	-7.61611e-04	2.91471e+02
398	3.98000e+01	2.29565e-02	-8.18231e-04	2.91436e+02
399	3.99000e+01	2.27407e-02	-8.54362e-04	2.91387e+02
400	4.00000e+01	2.25448e-02	-8.69048e-04	2.91322e+02
401	4.01000e+01	2.23641e-02	-8.61858e-04	2.91239e+02
402	4.02000e+01	2.21945e-02	-8.33061e-04	2.91137e+02
403	4.03000e+01	2.20333e-02	-7.83559e-04	2.91016e+02
404	4.04000e+01	2.18806e-02	-7.14602e-04	2.90873e+02
405	4.05000e+01	2.17392e-02	-6.27417e-04	2.90707e+02
406	4.06000e+01	2.16141e-02	-5.22901e-04	2.90519e+02
407	4.07000e+01	2.15117e-02	-4.01505e-04	2.90307e+02
408	4.08000e+01	2.14378e-02	-2.63385e-04	2.90072e+02
409	4.09000e+01	2.13968e-02	-1.08744e-04	2.89815e+02
